first_name,phone
Aruzhan,87010010010
Islam,87020020020
Amina,87030030030
Yerassyl,87040040040
Kamila,87050050050
Nursultan,87060060060
Zarina,87070070070
Adil,87080080080
Aisulu,87090090090
Ramazan,87100010001
Dana,87110020002
Madiyar,87120030003
Tomiris,87130040004
Alikhan,87140050005
Zhansaya,87150060006
Dias,87160070007
Miras,87170080008
Sabina,87180090009
Akerke,87190100100
Yernar,87200200200
Madina,87210300300
Serik,87220400400
Balzhan,87230500500
Erke,87240600600
Sanzhar,87250700700
Moldir,87260800800
Aruzhan2,87270900900
Alua,87281001010
Danel,87291101111
Karina,87301201200
